pair_id,is_prerequisite,notes,prereq_order,prereq_title,dep_order,dep_title,same_section,doc_distance,continuation,sbert_cosine
1,,,0,Matter (Part 1 of 2),1,Matter (Part 2 of 2),True,1,True,0.5826
2,,,0,Matter (Part 1 of 2),19,E. Condensation,False,19,False,0.2506
3,,,1,Matter (Part 2 of 2),4,SOLID (Part 3 of 3),False,3,False,0.3365
4,,,1,Matter (Part 2 of 2),5,LIQUID (Part 1 of 3),False,4,False,0.517
5,,,1,Matter (Part 2 of 2),8,GAS,False,7,False,0.4933
6,,,1,Matter (Part 2 of 2),9,Characteristics of Gases (Part 1 of 2),False,8,False,0.443
7,,,1,Matter (Part 2 of 2),15,A. Melting,False,14,False,0.4572
8,,,2,SOLID (Part 1 of 3),3,SOLID (Part 2 of 3),True,1,True,0.6886
9,,,2,SOLID (Part 1 of 3),4,SOLID (Part 3 of 3),True,2,False,0.5827
10,,,3,SOLID (Part 2 of 3),4,SOLID (Part 3 of 3),True,1,True,0.5711
11,,,3,SOLID (Part 2 of 3),11,PARTICLE ARRANGEMENT,False,8,False,0.6115
12,,,4,SOLID (Part 3 of 3),3,SOLID (Part 2 of 3),True,-1,False,0.5711
13,,,4,SOLID (Part 3 of 3),7,LIQUID (Part 3 of 3),False,3,False,0.7983
14,,,4,SOLID (Part 3 of 3),10,Characteristics of Gases (Part 2 of 2),False,6,False,0.7018
15,,,5,LIQUID (Part 1 of 3),6,LIQUID (Part 2 of 3),True,1,True,0.7318
16,,,6,LIQUID (Part 2 of 3),2,SOLID (Part 1 of 3),False,-4,False,0.391
17,,,6,LIQUID (Part 2 of 3),5,LIQUID (Part 1 of 3),True,-1,False,0.7318
18,,,6,LIQUID (Part 2 of 3),7,LIQUID (Part 3 of 3),True,1,True,0.4686
19,,,7,LIQUID (Part 3 of 3),10,Characteristics of Gases (Part 2 of 2),False,3,False,0.7505
20,,,8,GAS,9,Characteristics of Gases (Part 1 of 2),True,1,False,0.6431
21,,,8,GAS,10,Characteristics of Gases (Part 2 of 2),True,2,False,0.6981
22,,,8,GAS,11,PARTICLE ARRANGEMENT,False,3,False,0.6072
23,,,9,Characteristics of Gases (Part 1 of 2),10,Characteristics of Gases (Part 2 of 2),True,1,True,0.633
24,,,10,Characteristics of Gases (Part 2 of 2),4,SOLID (Part 3 of 3),False,-6,False,0.7018
25,,,10,Characteristics of Gases (Part 2 of 2),7,LIQUID (Part 3 of 3),False,-3,False,0.7505
26,,,10,Characteristics of Gases (Part 2 of 2),17,C. Evaporation,False,7,False,0.414
27,,,10,Characteristics of Gases (Part 2 of 2),18,D. Boiling,False,8,False,0.4506
28,,,11,PARTICLE ARRANGEMENT,0,Matter (Part 1 of 2),False,-11,False,0.5369
29,,,11,PARTICLE ARRANGEMENT,2,SOLID (Part 1 of 3),False,-9,False,0.6527
30,,,11,PARTICLE ARRANGEMENT,10,Characteristics of Gases (Part 2 of 2),False,-1,False,0.476
31,,,15,A. Melting,16,B. Freezing,True,1,False,0.8546
32,,,16,B. Freezing,10,Characteristics of Gases (Part 2 of 2),False,-6,False,0.3323
33,,,16,B. Freezing,15,A. Melting,True,-1,False,0.8546
34,,,17,C. Evaporation,3,SOLID (Part 2 of 3),False,-14,False,0.2403
35,,,17,C. Evaporation,5,LIQUID (Part 1 of 3),False,-12,False,0.4119
36,,,17,C. Evaporation,18,D. Boiling,True,1,False,0.7217
37,,,17,C. Evaporation,19,E. Condensation,True,2,False,0.7725
38,,,18,D. Boiling,17,C. Evaporation,True,-1,False,0.7217
39,,,18,D. Boiling,19,E. Condensation,True,1,False,0.7206
40,,,19,E. Condensation,15,A. Melting,True,-4,False,0.5047
41,,,19,E. Condensation,17,C. Evaporation,True,-2,False,0.7725
42,,,19,E. Condensation,18,D. Boiling,True,-1,False,0.7206
